,Player,Season,Team,Tournament-fullname,Tournament,Apps,Mins,Total_Shots,OutOfBox,SixYardBox,PenaltyArea,Rating
2455,Jonas Knudsen,2013/2014,Esbjerg fB,Europe-UEFA-Europa-League,UEL,8,720,5,4,-,1,6.89
2458,Jannik Vestergaard,2010/2011,Hoffenheim,Germany-Bundesliga,GB,1,1,-,-,-,-,6.0
2459,Andreas Cornelius,2017/2018,Atalanta,Italy-Serie-A,ISA,23,928,32,5,5,22,6.52
2460,Andreas Cornelius,2017/2018,Atalanta,Europe-UEFA-Europa-League,UEL,4,25,5,-,-,5,6.62
2461,Andreas Cornelius,2016/2017,FC Copenhagen,Europe-UEFA-Champions-League,UCL,5,450,12,1,2,9,7.13
2462,Andreas Cornelius,2016/2017,FC Copenhagen,Europe-UEFA-Europa-League,UEL,4,360,9,1,-,8,6.89
2463,Andreas Cornelius,2014/2015,FC Copenhagen,Europe-UEFA-Europa-League,UEL,4,360,5,1,1,3,6.6
2464,Andreas Cornelius,2013/2014,Cardiff,England-Premier-League,EPL,8,107,4,1,1,2,6.04
2465,Andreas Cornelius,2012/2013,FC Copenhagen,Europe-UEFA-Europa-League,UEL,6,446,18,4,3,11,6.63
2466,Alphonse Areola,2017/2018,Paris Saint G..,Europe-UEFA-Champions-League,UCL,8,720,-,-,-,-,7.22
2467,Alphonse Areola,2017/2018,Paris Saint G..,France-Ligue-1,FL1,34,3060,-,-,-,-,6.88
2468,Alphonse Areola,2016/2017,Paris Saint G..,Europe-UEFA-Champions-League,UCL,6,540,-,-,-,-,6.36
2469,Alphonse Areola,2016/2017,Paris Saint G..,France-Ligue-1,FL1,15,1296,-,-,-,-,6.61
2470,Alphonse Areola,2015/2016,Villarreal,Spain-La-Liga,SLL,32,2880,-,-,-,-,7.09
2471,Alphonse Areola,2015/2016,Villarreal,Europe-UEFA-Europa-League,UEL,5,450,-,-,-,-,7.33
2472,Alphonse Areola,2014/2015,SC Bastia,France-Ligue-1,FL1,35,3150,-,-,-,-,6.81
2473,Alphonse Areola,2012/2013,Paris Saint G..,France-Ligue-1,FL1,2,104,-,-,-,-,6.98
2474,Djibril Sidibé,2017/2018,Monaco,Europe-UEFA-Champions-League,UCL,3,253,-,-,-,-,6.34
2475,Djibril Sidibé,2017/2018,Monaco,France-Ligue-1,FL1,27,2157,20,10,1,9,7.14
2476,Djibril Sidibé,2016/2017,Monaco,Europe-UEFA-Champions-League,UCL,9,810,5,2,-,3,7.23
2477,Djibril Sidibé,2016/2017,Monaco,France-Ligue-1,FL1,29,2322,23,10,-,13,7.17
2478,Djibril Sidibé,2015/2016,Lille,France-Ligue-1,FL1,37,3275,41,20,1,20,7.45
2479,Djibril Sidibé,2014/2015,Lille,Europe-UEFA-Europa-League,UEL,2,137,2,1,-,1,6.68
2480,Djibril Sidibé,2014/2015,Lille,France-Ligue-1,FL1,25,2097,21,11,-,10,7.2
2481,Djibril Sidibé,2013/2014,Lille,France-Ligue-1,FL1,20,1354,18,13,-,5,6.96
2482,Djibril Sidibé,2012/2013,Lille,Europe-UEFA-Champions-League,UCL,3,169,2,2,-,-,6.73
2483,Djibril Sidibé,2012/2013,Lille,France-Ligue-1,FL1,14,781,7,3,-,4,6.95
2484,Florian Thauvin,2017/2018,Marseille,Europe-UEFA-Europa-League,UEL,12,731,20,7,2,11,6.99
2485,Florian Thauvin,2017/2018,Marseille,France-Ligue-1,FL1,35,2966,131,50,13,68,7.94
2486,Florian Thauvin,2016/2017,Marseille,France-Ligue-1,FL1,38,2978,96,46,5,45,7.37
2487,Florian Thauvin,2015/2016,Marseille,Europe-UEFA-Europa-League,UEL,2,37,3,2,-,1,6.47
2488,Florian Thauvin,2015/2016,Marseille,France-Ligue-1,FL1,16,947,17,11,1,5,6.59
2489,Florian Thauvin,2015/2016,Newcastle Uni..,England-Premier-League,EPL,13,420,8,5,-,3,6.2
2490,Florian Thauvin,2014/2015,Marseille,France-Ligue-1,FL1,36,2526,72,26,3,43,6.95
2491,Florian Thauvin,2013/2014,Marseille,Europe-UEFA-Champions-League,UCL,6,238,7,2,1,4,6.81
2492,Florian Thauvin,2013/2014,Marseille,France-Ligue-1,FL1,31,2096,82,34,-,48,6.92
2493,Florian Thauvin,2012/2013,SC Bastia,France-Ligue-1,FL1,32,2260,56,17,-,39,6.86
2495,Shehu Abdullahi,2017/2018,Bursaspor,,TS,14,1147,3,-,1,2,6.94
2499,Ogenyi Onazi,2011/2012,Lazio,Italy-Serie-A,ISA,1,1,-,-,-,-,6.0
2500,Alisson,2017/2018,Roma,Italy-Serie-A,ISA,37,3330,-,-,-,-,6.99
2501,Alisson,2017/2018,Roma,Europe-UEFA-Champions-League,UCL,12,1080,-,-,-,-,6.86
2502,Alisson,2016/2017,Roma,Europe-UEFA-Europa-League,UEL,10,900,-,-,-,-,7.01
2503,Alisson,2016,Internacional,Brazil-Brasileirão,BSA,1,90,-,-,-,-,6.95
2504,Alisson,2015,Internacional,Brazil-Brasileirão,BSA,26,2266,-,-,-,-,6.98
2505,Alisson,2014,Internacional,Brazil-Brasileirão,BSA,11,990,-,-,-,-,6.91
2506,Alisson,2013,Internacional,Brazil-Brasileirão,BSA,6,518,-,-,-,-,6.52
2507,Joel Campbell,2017/2018,Real Betis,Spain-La-Liga,SLL,8,209,7,3,-,4,6.65
2508,Joel Campbell,2016/2017,Sporting CP,Portugal-Liga-NOS,PLN,19,765,15,5,-,10,6.72
2509,Joel Campbell,2016/2017,Sporting CP,Europe-UEFA-Champions-League,UCL,4,68,2,-,-,2,6.3
2510,Joel Campbell,2015/2016,Arsenal,Europe-UEFA-Champions-League,UCL,5,268,1,-,-,1,6.8
2511,Joel Campbell,2015/2016,Arsenal,England-Premier-League,EPL,19,888,19,6,1,12,6.72
2512,Joel Campbell,2014/2015,Villarreal,Spain-La-Liga,SLL,16,1211,24,13,1,10,6.89
2513,Joel Campbell,2014/2015,Arsenal,Europe-UEFA-Champions-League,UCL,3,107,2,-,-,2,6.68
2514,Joel Campbell,2014/2015,Villarreal,Europe-UEFA-Europa-League,UEL,4,142,3,2,-,1,6.25
2515,Joel Campbell,2014/2015,Arsenal,England-Premier-League,EPL,4,39,-,-,-,-,6.24
2516,Joel Campbell,2013/2014,Olympiacos,Europe-UEFA-Champions-League,UCL,5,355,7,3,-,4,7.01
2517,Joel Campbell,2014,Costa Rica,International-FIFA-World-Cup,WC,5,385,5,3,-,2,6.97
2518,Joel Campbell,2012/2013,Real Betis,Spain-La-Liga,SLL,28,1614,42,21,-,21,6.71
2519,Joel Campbell,2011/2012,Lorient,France-Ligue-1,FL1,25,1173,40,17,-,23,6.38
2520,Antonio Rüdiger,2017/2018,Chelsea,Europe-UEFA-Champions-League,UCL,6,389,4,-,-,4,6.32
2521,Antonio Rüdiger,2017/2018,Chelsea,England-Premier-League,EPL,27,2336,15,5,4,6,6.92
2522,Antonio Rüdiger,2016/2017,Roma,Italy-Serie-A,ISA,26,2206,10,4,-,6,6.86
2523,Antonio Rüdiger,2016/2017,Roma,Europe-UEFA-Europa-League,UEL,5,377,2,-,-,2,6.62
2524,Antonio Rüdiger,2015/2016,Roma,Italy-Serie-A,ISA,30,2634,19,6,3,10,6.82
2525,Antonio Rüdiger,2015/2016,Roma,Europe-UEFA-Champions-League,UCL,6,540,2,-,1,1,6.43
2526,Antonio Rüdiger,2014/2015,VfB Stuttgart,Germany-Bundesliga,GB,19,1605,17,2,-,15,6.83
2527,Antonio Rüdiger,2013/2014,VfB Stuttgart,Germany-Bundesliga,GB,30,2694,11,3,2,6,7.02
2528,Antonio Rüdiger,2013,Germany U21,International-EURO-U-21,IEU,1,8,-,-,-,-,5.88
2529,Antonio Rüdiger,2012/2013,VfB Stuttgart,Germany-Bundesliga,GB,16,1008,8,3,1,4,6.54
2530,Antonio Rüdiger,2012/2013,VfB Stuttgart,Europe-UEFA-Europa-League,UEL,4,282,2,1,-,1,6.84
2531,Antonio Rüdiger,2011/2012,VfB Stuttgart,Germany-Bundesliga,GB,1,79,-,-,-,-,6.24
2532,Filip Helander,2015,Sweden U21,International-EURO-U-21,IEU,5,326,-,-,-,-,6.71
2533,Filip Helander,2014/2015,Malmoe FF,Europe-UEFA-Champions-League,UCL,6,540,-,-,-,-,6.43
2534,Oscar Hiljemark,2014/2015,PSV Eindhoven,Europe-UEFA-Europa-League,UEL,1,85,-,-,-,-,6.55
2535,Romelu Lukaku,2017/2018,Manchester Un..,Europe-UEFA-Champions-League,UCL,8,704,26,7,4,15,7.7
2536,Romelu Lukaku,2017/2018,Manchester Un..,England-Premier-League,EPL,34,2869,86,11,7,68,7.29
2537,Romelu Lukaku,2016/2017,Everton,England-Premier-League,EPL,37,3267,110,30,12,68,7.5
2538,Romelu Lukaku,2015/2016,Everton,England-Premier-League,EPL,37,3177,118,29,17,72,7.16
2539,Romelu Lukaku,2014/2015,Everton,Europe-UEFA-Europa-League,UEL,9,634,27,8,2,17,7.74
2540,Romelu Lukaku,2014/2015,Everton,England-Premier-League,EPL,36,2877,105,39,7,59,6.77
2541,Romelu Lukaku,2016,Belgium,International-European-Championship,UEC,5,401,12,1,2,9,7.02
2542,Romelu Lukaku,2013/2014,Chelsea,England-Premier-League,EPL,2,41,3,1,-,2,6.14
2543,Romelu Lukaku,2013/2014,Everton,England-Premier-League,EPL,31,2564,98,32,15,51,7.31
2544,Romelu Lukaku,2014,Belgium,International-FIFA-World-Cup,WC,3,147,2,1,-,1,6.04
2545,Romelu Lukaku,2012/2013,West Bromwich..,England-Premier-League,EPL,35,2006,97,18,9,70,6.95
2546,Romelu Lukaku,2011/2012,Chelsea,England-Premier-League,EPL,8,158,9,2,3,4,6.35
2547,Koen Casteels,2017/2018,Wolfsburg,Germany-Bundesliga,GB,34,3060,-,-,-,-,6.92
2548,Koen Casteels,2016/2017,Wolfsburg,Germany-Bundesliga,GB,20,1800,-,-,-,-,6.57
2549,Koen Casteels,2015/2016,Wolfsburg,Germany-Bundesliga,GB,13,1170,-,-,-,-,6.9
2550,Koen Casteels,2015/2016,Wolfsburg,Europe-UEFA-Champions-League,UCL,2,180,-,-,-,-,6.62
2551,Koen Casteels,2014/2015,Werder Bremen,Germany-Bundesliga,GB,6,540,-,-,-,-,6.94
2552,Koen Casteels,2013/2014,Hoffenheim,Germany-Bundesliga,GB,23,2053,-,-,-,-,6.48
2553,Koen Casteels,2012/2013,Hoffenheim,Germany-Bundesliga,GB,16,1387,-,-,-,-,6.51
2555,Son Heung-min,2015/2016,Bayer Leverku..,Germany-Bundesliga,GB,1,64,2,-,1,1,6.19
2557,Thorgan Hazard,2017/2018,Borussia M.Gl..,Germany-Bundesliga,GB,34,2947,87,20,10,57,7.11
2558,Thorgan Hazard,2016/2017,Borussia M.Gl..,Germany-Bundesliga,GB,23,1632,42,8,3,31,7.08
2559,Thorgan Hazard,2016/2017,Borussia M.Gl..,Europe-UEFA-Champions-League,UCL,4,252,5,3,-,2,6.94
2560,Thorgan Hazard,2016/2017,Borussia M.Gl..,Europe-UEFA-Europa-League,UEL,2,117,2,1,-,1,6.39
2561,Thorgan Hazard,2015/2016,Borussia M.Gl..,Germany-Bundesliga,GB,29,1647,45,11,5,29,6.89
2562,Thorgan Hazard,2015/2016,Borussia M.Gl..,Europe-UEFA-Champions-League,UCL,4,117,3,3,-,-,6.23
2563,Thorgan Hazard,2014/2015,Borussia M.Gl..,Germany-Bundesliga,GB,28,904,20,9,1,10,6.53
2564,Thorgan Hazard,2014/2015,Borussia M.Gl..,Europe-UEFA-Europa-League,UEL,7,540,18,9,-,9,7.25
2565,Thorgan Hazard,2013/2014,Zulte-Waregem,Europe-UEFA-Europa-League,UEL,6,489,24,19,-,5,7.28
2567,Jack Butland,2017/2018,Stoke,England-Premier-League,EPL,35,3150,-,-,-,-,6.76
2568,Jack Butland,2016/2017,Stoke,England-Premier-League,EPL,5,450,-,-,-,-,6.82
2569,Jack Butland,2015/2016,Stoke,England-Premier-League,EPL,31,2790,-,-,-,-,6.9
2570,Jack Butland,2015,England U21,International-EURO-U-21,IEU,3,270,-,-,-,-,6.52
2571,Jack Butland,2014/2015,Derby,England-Championship,EC,6,540,-,-,-,-,7.24
2572,Jack Butland,2014/2015,Stoke,England-Premier-League,EPL,3,270,-,-,-,-,6.97
2573,Jack Butland,2013/2014,Leeds,England-Championship,EC,16,1440,-,-,-,-,6.61
2574,Jack Butland,2013/2014,Barnsley,England-Championship,EC,13,1170,-,-,-,-,6.72
2575,Jack Butland,2013/2014,Stoke,England-Premier-League,EPL,3,225,-,-,-,-,6.71
2576,Jack Butland,2013,England U21,International-EURO-U-21,IEU,2,180,-,-,-,-,5.8
2578,Edwin Cardona,2017/2018,Boca Juniors,Argentina-Primera-División,APD,20,1577,66,46,-,20,7.37
2579,Edwin Cardona,2015,Colombia,International-Copa-America,ICA,2,93,2,1,-,1,6.82
2580,Gustavo Cuéllar,2018,Flamengo,Brazil-Brasileirão,BSA,6,444,1,1,-,-,6.7
2581,Gustavo Cuéllar,2017,Flamengo,Brazil-Brasileirão,BSA,25,1867,12,9,-,3,6.76
2582,Gustavo Cuéllar,2016,Flamengo,Brazil-Brasileirão,BSA,16,521,2,1,-,1,6.45
2583,Miguel Borja,2018,Palmeiras,Brazil-Brasileirão,BSA,4,289,14,3,1,10,6.87
2584,Miguel Borja,2017,Palmeiras,Brazil-Brasileirão,BSA,24,1110,53,17,5,31,6.53
2585,Miguel Borja,2013/2014,Livorno,Italy-Serie-A,ISA,8,142,2,-,-,2,5.78
2586,Youssouf Sabaly,2017/2018,Bordeaux,France-Ligue-1,FL1,35,3094,10,7,-,3,7.11
2587,Youssouf Sabaly,2016/2017,Bordeaux,France-Ligue-1,FL1,30,2648,10,6,-,4,7.28
2588,Youssouf Sabaly,2015/2016,Nantes,France-Ligue-1,FL1,28,2502,13,6,-,7,7.27
2589,Youssouf Sabaly,2014/2015,Evian Thonon ..,France-Ligue-1,FL1,28,2476,16,12,-,4,7.16
2590,Youssouf Sabaly,2013/2014,Evian Thonon ..,France-Ligue-1,FL1,36,3113,13,8,-,5,7.08
2591,Ilya Kutepov,2017/2018,Spartak Mosco..,Europe-UEFA-Europa-League,UEL,2,170,-,-,-,-,6.98
2592,Ilya Kutepov,2017/2018,Spartak Mosco..,Europe-UEFA-Champions-League,UCL,3,270,-,-,-,-,7.31
2593,Ilya Kutepov,2017/2018,Spartak Mosco..,Russia-Premier-League,RPL,18,1444,4,2,1,1,7.08
2594,Ilya Kutepov,2016/2017,Spartak Mosco..,Russia-Premier-League,RPL,24,2127,10,3,1,6,7.16
2595,Ilya Kutepov,2015/2016,Spartak Mosco..,Russia-Premier-League,RPL,10,805,3,-,-,3,6.85
2596,Roman Zobnin,2014/2015,Dinamo Moscow,Europe-UEFA-Europa-League,UEL,1,46,-,-,-,-,5.37
2597,Roman Zobnin,2013/2014,Dinamo Moscow,Russia-Premier-League,RPL,4,94,-,-,-,-,5.97
2598,Gastón Silva,2017/2018,Independiente,Argentina-Primera-División,APD,12,1015,7,4,1,2,7.25
2599,Gastón Silva,2016/2017,Granada,Spain-La-Liga,SLL,22,1749,6,2,-,4,6.46
2600,Gastón Silva,2015/2016,Torino,Italy-Serie-A,ISA,12,897,7,5,-,2,6.83
2601,Gastón Silva,2014/2015,Torino,Italy-Serie-A,ISA,5,326,2,1,-,1,6.61
2602,Gastón Silva,2014/2015,Torino,Europe-UEFA-Europa-League,UEL,4,360,3,2,1,-,7.7
2603,Giorgian De Arrascaeta,2018,Cruzeiro,Brazil-Brasileirão,BSA,5,344,18,4,1,13,7.44
2604,Giorgian De Arrascaeta,2017,Cruzeiro,Brazil-Brasileirão,BSA,16,1075,36,13,1,22,6.91
2605,Giorgian De Arrascaeta,2016,Cruzeiro,Brazil-Brasileirão,BSA,31,2414,75,36,2,37,7.17
2606,Giorgian De Arrascaeta,2015,Cruzeiro,Brazil-Brasileirão,BSA,21,1229,39,14,4,21,6.8
2607,Giorgian De Arrascaeta,2015,Uruguay,International-Copa-America,ICA,1,26,1,1,-,-,6.08
2608,Saman Ghoddos,2017/2018,Oestersunds F..,Europe-UEFA-Europa-League,UEL,8,720,23,12,-,11,7.5
2609,Saman Ghoddos,2017,Oestersunds F..,Sweden-Allsvenskan,SA,23,1843,62,26,1,35,7.24
2610,Saman Ghoddos,2016,Oestersunds F..,Sweden-Allsvenskan,SA,26,2157,93,45,2,46,7.29
2612,Milos Degenek,2016/2017,1860 Muenchen,Germany-Bundesliga-II,GB2,8,642,1,-,-,1,6.71
2613,Milos Degenek,2015/2016,1860 Muenchen,Germany-Bundesliga-II,GB2,25,1772,9,6,-,3,6.61
2614,Riza Durmisi,2015,Denmark U21,International-EURO-U-21,IEU,1,90,1,1,-,-,7.93
2615,Viktor Fischer,2017/2018,FC Copenhagen,Europe-UEFA-Europa-League,UEL,2,118,1,-,0.5,0.5,6.97
2616,Viktor Fischer,2013/2014,Ajax,Europe-UEFA-Europa-League,UEL,1,90,2,-,-,2,5.93
2617,Kenneth Zohore,2017/2018,Cardiff,England-Championship,EC,36,2680,92,23,8,61,7.0
2618,Kenneth Zohore,2016/2017,Cardiff,England-Championship,EC,29,2251,73,11,6,56,7.2
2619,Kenneth Zohore,2015/2016,Cardiff,England-Championship,EC,12,259,17,1,1,15,6.33
2620,Kenneth Zohore,2010/2011,FC Copenhagen,Europe-UEFA-Champions-League,UCL,5,68,4,-,-,4,6.15
2621,Nabil Fekir,2017/2018,Lyon,Europe-UEFA-Europa-League,UEL,8,660,20,10,-,10,7.73
2622,Nabil Fekir,2017/2018,Lyon,France-Ligue-1,FL1,30,2481,89,42,1,46,7.86
2623,Nabil Fekir,2016/2017,Lyon,Europe-UEFA-Champions-League,UCL,5,286,8,4,-,4,6.51
2624,Nabil Fekir,2016/2017,Lyon,France-Ligue-1,FL1,32,2224,71,26,2,43,7.1
2625,Nabil Fekir,2016/2017,Lyon,Europe-UEFA-Europa-League,UEL,8,488,30,9,1,20,7.59
2626,Nabil Fekir,2015/2016,Lyon,France-Ligue-1,FL1,9,464,20,9,-,11,7.04
2627,Nabil Fekir,2014/2015,Lyon,France-Ligue-1,FL1,34,2776,88,36,-,52,7.57
2628,Nabil Fekir,2013/2014,Lyon,Europe-UEFA-Europa-League,UEL,3,32,-,-,-,-,6.04
2629,Nabil Fekir,2013/2014,Lyon,France-Ligue-1,FL1,11,544,10,4,-,6,6.64
2630,Matej Mitrovic,2017/2018,Besiktas,Turkey-Super-Lig,TS,2,109,1,-,-,1,6.88
2631,Matej Mitrovic,2017/2018,Besiktas,Europe-UEFA-Champions-League,UCL,2,106,-,-,-,-,6.98
2632,Matej Mitrovic,2016/2017,Besiktas,Turkey-Super-Lig,TS,7,263,1,-,1,-,6.54
2633,Matej Mitrovic,2016/2017,Besiktas,Europe-UEFA-Europa-League,UEL,4,334,-,-,-,-,6.71
2634,Matej Mitrovic,2014/2015,Rijeka,Europe-UEFA-Europa-League,UEL,4,360,1,-,-,1,7.42
2635,Ante Rebic,2017/2018,Eintracht Fra..,Germany-Bundesliga,GB,25,1764,46,16,2,28,6.96
2636,Ante Rebic,2016/2017,Eintracht Fra..,Germany-Bundesliga,GB,24,1407,44,17,1,26,6.61
2637,Ante Rebic,2015/2016,Fiorentina,Italy-Serie-A,ISA,4,229,6,4,-,2,6.78
2638,Ante Rebic,2015/2016,Verona,Italy-Serie-A,ISA,10,527,10,1,-,9,6.24
2639,Ante Rebic,2015/2016,Fiorentina,Europe-UEFA-Europa-League,UEL,2,171,6,2,-,4,6.79
2640,Ante Rebic,2013/2014,Fiorentina,Italy-Serie-A,ISA,4,91,3,-,-,3,6.21
2641,Ante Rebic,2014,Croatia,International-FIFA-World-Cup,WC,3,44,2,-,-,2,6.07
2642,Sverrir Ingi Ingason,2017/2018,FC Rostov,Russia-Premier-League,RPL,28,2479,22,8,1,13,7.03
2643,Sverrir Ingi Ingason,2016/2017,Granada,Spain-La-Liga,SLL,17,1473,5,1,2,2,6.67
2644,Sverrir Ingi Ingason,2016,Iceland,International-European-Championship,UEC,2,49,2,-,1,1,6.59
2645,William Troost-Ekong,2017/2018,Bursaspor,Turkey-Super-Lig,TS,27,2286,18,6,1,11,6.67
2646,William Troost-Ekong,2016,FK Haugesund,Norway-Eliteserien,NE,24,2160,20,-,7,13,7.42
2647,William Troost-Ekong,2014/2015,FC Dordrecht,Netherlands-Eredivisie,NE,22,1570,3,-,1,2,6.72
2648,William Troost-Ekong,2013/2014,FC Groningen,Netherlands-Eredivisie,NE,2,47,-,-,-,-,6.39
2649,Kenneth Omeruo,2014,Nigeria,International-FIFA-World-Cup,WC,4,360,-,-,-,-,7.44
2650,Kenneth Omeruo,2013,Nigeria,International-Confederations-Cup,ICC,3,178,-,-,-,-,6.36
2652,Matthias Ginter,2017/2018,Borussia M.Gl..,Germany-Bundesliga,GB,34,3060,29,7,7,15,6.92
2653,Matthias Ginter,2016/2017,Borussia Dort..,Germany-Bundesliga,GB,29,2475,20,3,1,16,6.8
2654,Matthias Ginter,2016/2017,Borussia Dort..,Europe-UEFA-Champions-League,UCL,8,534,2,-,-,2,6.65
2655,Matthias Ginter,2015/2016,Borussia Dort..,Germany-Bundesliga,GB,24,1890,17,2,1,14,7.16
2656,Matthias Ginter,2015/2016,Borussia Dort..,Europe-UEFA-Europa-League,UEL,9,538,10,1,-,9,7.05
2657,Matthias Ginter,2015,Germany U21,International-EURO-U-21,IEU,4,360,2,-,1,1,7.08
2658,Matthias Ginter,2014/2015,Borussia Dort..,Germany-Bundesliga,GB,14,840,14,6,-,8,6.76
2659,Matthias Ginter,2014/2015,Borussia Dort..,Europe-UEFA-Champions-League,UCL,5,318,1,-,-,1,6.9
2660,Matthias Ginter,2013/2014,Freiburg,Europe-UEFA-Europa-League,UEL,5,449,2,1,-,1,7.01
2661,Matthias Ginter,2013/2014,Freiburg,Germany-Bundesliga,GB,34,3039,22,5,2,15,6.87
2662,Matthias Ginter,2013,Germany U21,International-EURO-U-21,IEU,3,270,1,1,-,-,6.93
2663,Matthias Ginter,2012/2013,Freiburg,Germany-Bundesliga,GB,23,1949,9,1,1,7,6.93
2664,Matthias Ginter,2011/2012,Freiburg,Germany-Bundesliga,GB,13,1015,4,-,1,3,6.97
2665,Julian Draxler,2017/2018,Paris Saint G..,Europe-UEFA-Champions-League,UCL,8,316,4,3,-,1,6.64
2666,Julian Draxler,2017/2018,Paris Saint G..,France-Ligue-1,FL1,30,1706,23,2,1,20,7.04
2667,Julian Draxler,2016/2017,Wolfsburg,Germany-Bundesliga,GB,13,1055,29,8,2,19,7.09
2668,Julian Draxler,2016/2017,Paris Saint G..,Europe-UEFA-Champions-League,UCL,2,161,4,1,-,3,7.57
2669,Julian Draxler,2016/2017,Paris Saint G..,France-Ligue-1,FL1,17,1016,24,6,-,18,7.19
2670,Julian Draxler,2015/2016,Wolfsburg,Germany-Bundesliga,GB,21,1522,34,11,1,22,7.17
2671,Julian Draxler,2015/2016,Schalke 04,Germany-Bundesliga,GB,3,253,10,6,-,4,7.43
2672,Julian Draxler,2015/2016,Wolfsburg,Europe-UEFA-Champions-League,UCL,9,656,13,5,1,7,7.25
2673,Julian Draxler,2014/2015,Schalke 04,Germany-Bundesliga,GB,15,774,23,11,2,10,6.86
2674,Julian Draxler,2014/2015,Schalke 04,Europe-UEFA-Champions-League,UCL,3,258,16,12,-,4,7.27
2675,Julian Draxler,2016,Germany,International-European-Championship,UEC,5,330,9,4,1,4,7.22
2676,Julian Draxler,2013/2014,Schalke 04,Europe-UEFA-Champions-League,UCL,8,594,12,3,1,8,7.21
2677,Julian Draxler,2013/2014,Schalke 04,Germany-Bundesliga,GB,26,2154,48,27,-,21,7.69
2678,Julian Draxler,2014,Germany,International-FIFA-World-Cup,WC,1,14,-,-,-,-,6.27
2679,Julian Draxler,2012/2013,Schalke 04,Germany-Bundesliga,GB,30,2150,60,25,5,30,7.41
2680,Julian Draxler,2012/2013,Schalke 04,Europe-UEFA-Champions-League,UCL,6,409,17,12,-,5,7.32
2681,Julian Draxler,2011/2012,Schalke 04,Germany-Bundesliga,GB,30,1790,34,15,1,18,7.14
2682,Julian Draxler,2010/2011,Schalke 04,Germany-Bundesliga,GB,15,514,7,3,1,3,6.35
2683,Julian Draxler,2010/2011,Schalke 04,Europe-UEFA-Champions-League,UCL,6,147,1,1,-,-,6.17
2684,Carlos Salcedo,2016/2017,Fiorentina,Europe-UEFA-Europa-League,UEL,2,164,-,-,-,-,7.05
2685,Carlos Salcedo,2015,Mexico,International-Copa-America,ICA,1,19,-,-,-,-,6.66
2686,Ludwig Augustinsson,2016/2017,FC Copenhagen,Europe-UEFA-Europa-League,UEL,4,360,-,-,-,-,6.9
2687,Ludwig Augustinsson,2015,Sweden U21,International-EURO-U-21,IEU,5,450,-,-,-,-,6.77
2688,Jordan Pickford,2017/2018,Everton,Europe-UEFA-Europa-League,UEL,3,270,-,-,-,-,6.47
2689,Jordan Pickford,2017/2018,Everton,England-Premier-League,EPL,38,3420,1,-,-,1,6.63
2690,Jordan Pickford,2016/2017,Sunderland,England-Premier-League,EPL,29,2610,-,-,-,-,7.04
2691,Jordan Pickford,2015/2016,Preston,England-Championship,EC,24,2101,-,-,-,-,6.95
2692,Jordan Pickford,2015/2016,Sunderland,England-Premier-League,EPL,2,180,-,-,-,-,7.02
2693,Arkadiusz Milik,2017/2018,Napoli,Italy-Serie-A,ISA,15,440,23,8,3,12,6.52
2694,Arkadiusz Milik,2017/2018,Napoli,Europe-UEFA-Champions-League,UCL,1,90,5,-,-,5,6.37
2695,Arkadiusz Milik,2016/2017,Napoli,Italy-Serie-A,ISA,17,547,22,8,3,11,6.49
2696,Arkadiusz Milik,2016/2017,Napoli,Europe-UEFA-Champions-League,UCL,4,199,7,-,2,5,6.95
2697,Arkadiusz Milik,2015/2016,Ajax,Europe-UEFA-Europa-League,UEL,5,379,10,5,1,4,6.73
2698,Arkadiusz Milik,2015/2016,Ajax,Netherlands-Eredivisie,NE,31,2474,109,25,12,72,7.3
2699,Arkadiusz Milik,2014/2015,Ajax,Europe-UEFA-Champions-League,UCL,5,256,8,3,1,4,6.73
2700,Arkadiusz Milik,2014/2015,Ajax,Europe-UEFA-Europa-League,UEL,4,347,10,5,-,5,7.33
2701,Arkadiusz Milik,2014/2015,Ajax,Netherlands-Eredivisie,NE,21,1266,39,14,3,22,7.14
2702,Arkadiusz Milik,2016,Poland,International-European-Championship,UEC,5,450,18,6,2,10,6.95
2703,Arkadiusz Milik,2013/2014,Augsburg,Germany-Bundesliga,GB,18,638,18,8,2,8,6.42
2704,Arkadiusz Milik,2012/2013,Bayer Leverku..,Germany-Bundesliga,GB,6,65,5,1,1,3,6.16
2705,Arkadiusz Milik,2012/2013,Bayer Leverku..,Europe-UEFA-Europa-League,UEL,2,36,3,-,-,3,6.34
2707,Alfred Gomis,2017/2018,SPAL 2013,,ISA,26,2260,-,-,-,-,6.69
2708,Trézéguet,2015/2016,Anderlecht,Europe-UEFA-Europa-League,UEL,1,19,-,-,-,-,5.83
2709,Fahad Al-Muwallad,2017/2018,Levante,,SLL,2,26,-,-,-,-,5.99
2710,José Giménez,2017/2018,Atletico Madr..,Spain-La-Liga,SLL,23,1684,12,2,2,8,6.95
2711,José Giménez,2017/2018,Atletico Madr..,Europe-UEFA-Europa-League,UEL,7,630,-,-,-,-,7.34
2712,José Giménez,2017/2018,Atletico Madr..,Europe-UEFA-Champions-League,UCL,4,272,4,-,-,4,7.1
2713,José Giménez,2016/2017,Atletico Madr..,Spain-La-Liga,SLL,17,1013,13,4,1,8,7.17
2714,José Giménez,2016/2017,Atletico Madr..,Europe-UEFA-Champions-League,UCL,6,507,3,1,-,2,7.79
