,Player,Season,Team,Tournament-fullname,Tournament,Apps,Mins,Cross,Corner,Throughball,Freekick,Throwin,Other,Total_Assists,Rating
145,Éver Banega,2017/2018,Sevilla,Europe-UEFA-Champions-League,UCL,9,792,2,1,-,1,-,-,2,7.72
146,Éver Banega,2016/2017,Inter,Italy-Serie-A,ISA,28,1559,4,1,-,1,-,1,6,7.16
147,Éver Banega,2016/2017,Inter,Europe-UEFA-Europa-League,UEL,4,295,-,-,-,-,-,-,-,6.84
148,Éver Banega,2015/2016,Sevilla,Spain-La-Liga,SLL,25,1726,-,-,2,1,-,-,2,7.21
149,Éver Banega,2015/2016,Sevilla,Europe-UEFA-Europa-League,UEL,8,703,-,-,-,-,-,1,1,7.47
150,Éver Banega,2015/2016,Sevilla,Europe-UEFA-Champions-League,UCL,5,412,-,-,-,-,-,-,-,7.24
151,Éver Banega,2015,Argentina,International-Copa-America,ICA,5,130,-,-,-,-,-,-,-,6.64
152,Éver Banega,2014/2015,Sevilla,Spain-La-Liga,SLL,34,2199,2,-,1,1,-,-,3,7.0
153,Éver Banega,2014/2015,Sevilla,Europe-UEFA-Europa-League,UEL,12,911,1,-,-,1,-,-,1,7.02
154,Éver Banega,2013/2014,Valencia,Spain-La-Liga,SLL,18,1156,2,1,-,2,-,-,3,6.95
155,Éver Banega,2013/2014,Valencia,Europe-UEFA-Europa-League,UEL,2,180,-,-,-,-,-,1,1,7.15
156,Éver Banega,2012/2013,Valencia,Spain-La-Liga,SLL,29,1982,1,1,2,-,-,1,4,7.14
157,Éver Banega,2012/2013,Valencia,Europe-UEFA-Champions-League,UCL,5,213,-,-,1,-,-,-,1,6.58
158,Éver Banega,2011/2012,Valencia,Spain-La-Liga,SLL,13,1065,-,-,1,-,-,-,1,7.42
159,Éver Banega,2011/2012,Valencia,Europe-UEFA-Champions-League,UCL,4,279,-,-,-,-,-,-,-,6.66
160,Éver Banega,2010/2011,Valencia,Spain-La-Liga,SLL,28,1745,2,2,1,-,-,1,4,7.09
161,Éver Banega,2010/2011,Valencia,Europe-UEFA-Champions-League,UCL,4,300,-,-,-,-,-,-,-,7.49
162,Éver Banega,2009/2010,Valencia,Spain-La-Liga,SLL,36,2824,1,-,2,-,-,5,8,7.2
163,Mats Hummels,2017/2018,Bayern Munich,Germany-Bundesliga,GB,26,2213,-,-,-,-,-,1,1,7.27
164,Mats Hummels,2017/2018,Bayern Munich,Europe-UEFA-Champions-League,UCL,9,679,-,-,-,-,-,-,-,7.18
