,Player,Season,Team,Tournament-fullname,Tournament,Apps,Mins,Total_Goals,SixYardBox,PenaltyArea,OutOfBox,Rating
210,Toni Kroos,2012/2013,Bayern Munich,Germany-Bundesliga,GB,24,1926,6,-,4,2,7.69
211,Toni Kroos,2012/2013,Bayern Munich,Europe-UEFA-Champions-League,UCL,9,591,3,-,1,2,7.37
212,Toni Kroos,2012,Germany,International-European-Championship,UEC,4,108,-,-,-,-,6.35
213,Toni Kroos,2011/2012,Bayern Munich,Germany-Bundesliga,GB,31,2357,4,-,3,1,7.52
214,Toni Kroos,2011/2012,Bayern Munich,Europe-UEFA-Champions-League,UCL,12,1013,2,-,2,-,7.88
215,Toni Kroos,2010/2011,Bayern Munich,Germany-Bundesliga,GB,27,1740,1,-,-,1,6.82
216,Toni Kroos,2010/2011,Bayern Munich,Europe-UEFA-Champions-League,UCL,7,485,-,-,-,-,7.21
217,Toni Kroos,2009/2010,Bayer Leverku..,Germany-Bundesliga,GB,33,2360,9,-,3,6,7.59
218,César Azpilicueta,2017/2018,Chelsea,Europe-UEFA-Champions-League,UCL,8,705,1,-,1,-,6.75
219,César Azpilicueta,2017/2018,Chelsea,England-Premier-League,EPL,37,3330,2,2,-,-,7.18
220,César Azpilicueta,2016/2017,Chelsea,England-Premier-League,EPL,38,3420,1,-,1,-,7.21
221,César Azpilicueta,2015/2016,Chelsea,Europe-UEFA-Champions-League,UCL,8,720,-,-,-,-,7.4
222,César Azpilicueta,2015/2016,Chelsea,England-Premier-League,EPL,37,3202,2,1,1,-,7.03
223,César Azpilicueta,2014/2015,Chelsea,Europe-UEFA-Champions-League,UCL,4,360,-,-,-,-,7.37
224,César Azpilicueta,2014/2015,Chelsea,England-Premier-League,EPL,29,2484,-,-,-,-,7.24
225,César Azpilicueta,2016,Spain,International-European-Championship,UEC,1,9,-,-,-,-,6.3
226,César Azpilicueta,2013/2014,Chelsea,Europe-UEFA-Champions-League,UCL,10,821,-,-,-,-,7.37
227,César Azpilicueta,2013/2014,Chelsea,England-Premier-League,EPL,29,2325,-,-,-,-,7.26
228,César Azpilicueta,2014,Spain,International-FIFA-World-Cup,WC,2,180,-,-,-,-,6.44
229,César Azpilicueta,2013,Spain,International-Confederations-Cup,ICC,2,135,-,-,-,-,7.82
230,César Azpilicueta,2012/2013,Chelsea,Europe-UEFA-Europa-League,UEL,8,720,-,-,-,-,6.82
231,César Azpilicueta,2012/2013,Chelsea,Europe-UEFA-Champions-League,UCL,1,61,-,-,-,-,6.46
232,César Azpilicueta,2012/2013,Chelsea,England-Premier-League,EPL,27,2196,-,-,-,-,6.99
233,César Azpilicueta,2012/2013,Marseille,France-Ligue-1,FL1,2,180,-,-,-,-,7.29
234,César Azpilicueta,2011/2012,Marseille,Europe-UEFA-Champions-League,UCL,8,710,-,-,-,-,7.37
235,César Azpilicueta,2011/2012,Marseille,France-Ligue-1,FL1,30,2522,1,-,-,1,7.05
236,César Azpilicueta,2010/2011,Marseille,Europe-UEFA-Champions-League,UCL,4,360,1,-,1,-,7.77
237,César Azpilicueta,2010/2011,Marseille,France-Ligue-1,FL1,15,1015,-,-,-,-,7.11
238,César Azpilicueta,2009/2010,Osasuna,Spain-La-Liga,SLL,33,2970,-,-,-,-,7.04
239,Kyle Walker,2017/2018,Manchester Ci..,Europe-UEFA-Champions-League,UCL,7,630,-,-,-,-,7.1
240,Kyle Walker,2017/2018,Manchester Ci..,England-Premier-League,EPL,32,2787,-,-,-,-,7.05
241,Kyle Walker,2016/2017,Tottenham,Europe-UEFA-Champions-League,UCL,3,270,-,-,-,-,7.29
242,Kyle Walker,2016/2017,Tottenham,England-Premier-League,EPL,33,2704,-,-,-,-,7.2
243,Kyle Walker,2016/2017,Tottenham,Europe-UEFA-Europa-League,UEL,2,180,-,-,-,-,6.89
244,Kyle Walker,2015/2016,Tottenham,England-Premier-League,EPL,33,2943,1,-,1,-,7.19
245,Kyle Walker,2014/2015,Tottenham,Europe-UEFA-Europa-League,UEL,3,182,-,-,-,-,6.63
246,Kyle Walker,2014/2015,Tottenham,England-Premier-League,EPL,15,1307,-,-,-,-,6.97
247,Kyle Walker,2016,England,International-European-Championship,UEC,3,270,-,-,-,-,6.99
248,Kyle Walker,2013/2014,Tottenham,Europe-UEFA-Europa-League,UEL,3,256,-,-,-,-,7.14
249,Kyle Walker,2013/2014,Tottenham,England-Premier-League,EPL,26,2298,1,-,-,1,7.06
250,Kyle Walker,2012/2013,Tottenham,Europe-UEFA-Europa-League,UEL,11,990,-,-,-,-,7.25
251,Kyle Walker,2012/2013,Tottenham,England-Premier-League,EPL,36,3161,-,-,-,-,7.16
252,Kyle Walker,2011/2012,Tottenham,England-Premier-League,EPL,37,3231,2,-,-,2,7.13
253,Kyle Walker,2010/2011,Aston Villa,England-Premier-League,EPL,15,1338,1,-,-,1,7.27
254,Kyle Walker,2010/2011,Tottenham,England-Premier-League,EPL,1,3,-,-,-,-,6.0
255,Kyle Walker,2009/2010,Tottenham,England-Premier-League,EPL,2,180,-,-,-,-,6.92
256,Odion Ighalo,2018,Changchun Yat..,China-Super-league,CSl,11,990,7,1,5,1,7.12
257,Odion Ighalo,2017,Changchun Yat..,China-Super-league,CSl,27,2413,15,3,12,-,7.24
258,Odion Ighalo,2016/2017,Watford,England-Premier-League,EPL,18,1292,1,-,1,-,6.35
259,Odion Ighalo,2015/2016,Watford,England-Premier-League,EPL,37,3153,15,4,11,-,6.95
260,Odion Ighalo,2014/2015,Watford,England-Championship,EC,34,1928,20,7,12,1,7.06
261,Odion Ighalo,2013/2014,Granada,Spain-La-Liga,SLL,16,347,2,-,2,-,6.2
262,Odion Ighalo,2012/2013,Granada,Spain-La-Liga,SLL,28,1778,4,2,2,-,6.62
263,Odion Ighalo,2011/2012,Granada,Spain-La-Liga,SLL,30,1646,6,4,2,-,6.41
264,Odion Ighalo,2010/2011,Cesena,Italy-Serie-A,ISA,3,26,-,-,-,-,6.23
265,Marco Fabián,2017/2018,Eintracht Fra..,Germany-Bundesliga,GB,7,420,1,-,1,-,6.52
266,Marco Fabián,2016/2017,Eintracht Fra..,Germany-Bundesliga,GB,24,2058,7,2,4,1,7.18
267,Marco Fabián,2015/2016,Eintracht Fra..,Germany-Bundesliga,GB,11,802,-,-,-,-,6.71
268,Marco Fabián,2015,Mexico,International-Copa-America,ICA,1,38,-,-,-,-,6.55
269,Marco Fabián,2014,Mexico,International-FIFA-World-Cup,WC,3,41,-,-,-,-,6.22
270,Héctor Herrera,2017/2018,FC Porto,Portugal-Liga-NOS,PLN,29,2335,3,-,2,1,7.5
271,Héctor Herrera,2017/2018,FC Porto,Europe-UEFA-Champions-League,UCL,6,531,1,-,1,-,7.09
272,Héctor Herrera,2016/2017,FC Porto,Portugal-Liga-NOS,PLN,23,1282,2,-,1,1,6.97
273,Héctor Herrera,2016/2017,FC Porto,Europe-UEFA-Champions-League,UCL,6,322,-,-,-,-,6.44
274,Héctor Herrera,2015/2016,FC Porto,Europe-UEFA-Europa-League,UEL,2,109,-,-,-,-,6.19
275,Héctor Herrera,2015/2016,FC Porto,Europe-UEFA-Champions-League,UCL,4,170,-,-,-,-,6.18
276,Héctor Herrera,2014/2015,FC Porto,Europe-UEFA-Champions-League,UCL,9,789,3,-,1,2,7.34
277,Héctor Herrera,2013/2014,FC Porto,Europe-UEFA-Champions-League,UCL,3,29,-,-,-,-,5.92
278,Héctor Herrera,2013/2014,FC Porto,Europe-UEFA-Europa-League,UEL,5,257,-,-,-,-,6.41
279,Héctor Herrera,2014,Mexico,International-FIFA-World-Cup,WC,4,346,-,-,-,-,7.24
280,Héctor Herrera,2013,Mexico,International-Confederations-Cup,ICC,1,32,-,-,-,-,5.81
281,Jonathan dos Santos,2018,LA Galaxy,USA-Major-League-Soccer,UMLS,8,622,1,1,-,-,6.88
282,Jonathan dos Santos,2017,LA Galaxy,USA-Major-League-Soccer,UMLS,12,1005,1,-,-,1,6.43
283,Jonathan dos Santos,2016/2017,Villarreal,Spain-La-Liga,SLL,34,2207,2,1,1,-,6.77
284,Jonathan dos Santos,2016/2017,Villarreal,Europe-UEFA-Europa-League,UEL,8,594,1,-,1,-,6.83
285,Jonathan dos Santos,2015/2016,Villarreal,Spain-La-Liga,SLL,26,1762,-,-,-,-,6.82
286,Jonathan dos Santos,2015/2016,Villarreal,Europe-UEFA-Europa-League,UEL,10,601,1,-,-,1,6.83
287,Jonathan dos Santos,2014/2015,Villarreal,Spain-La-Liga,SLL,28,1632,2,-,2,-,6.75
288,Jonathan dos Santos,2014/2015,Villarreal,Europe-UEFA-Europa-League,UEL,9,630,-,-,-,-,6.99
289,Jonathan dos Santos,2013/2014,Barcelona,Spain-La-Liga,SLL,3,17,-,-,-,-,6.09
290,Jonathan dos Santos,2012/2013,Barcelona,Spain-La-Liga,SLL,3,59,-,-,-,-,6.37
291,Jonathan dos Santos,2011/2012,Barcelona,Spain-La-Liga,SLL,3,119,-,-,-,-,6.71
292,Jonathan dos Santos,2011/2012,Barcelona,Europe-UEFA-Champions-League,UCL,2,59,-,-,-,-,6.47
293,Jonathan dos Santos,2010/2011,Barcelona,Spain-La-Liga,SLL,2,87,-,-,-,-,6.54
294,Jonathan dos Santos,2010/2011,Barcelona,Europe-UEFA-Champions-League,UCL,1,64,-,-,-,-,6.48
295,Jonathan dos Santos,2009/2010,Barcelona,Spain-La-Liga,SLL,3,86,-,-,-,-,6.14
296,Jonathan dos Santos,2009/2010,Barcelona,Europe-UEFA-Champions-League,UCL,1,1,-,-,-,-,6.0
297,Javier Aquino,2015,Mexico,International-Copa-America,ICA,3,97,-,-,-,-,6.38
298,Javier Aquino,2014/2015,Rayo Vallecan..,Spain-La-Liga,SLL,24,1273,-,-,-,-,6.54
299,Javier Aquino,2013/2014,Villarreal,Spain-La-Liga,SLL,27,1695,1,-,1,-,6.93
300,Javier Aquino,2014,Mexico,International-FIFA-World-Cup,WC,1,29,-,-,-,-,6.49
301,Javier Aquino,2013,Mexico,International-Confederations-Cup,ICC,2,55,-,-,-,-,6.21
302,Wojciech Szczęsny,2017/2018,Juventus,Italy-Serie-A,ISA,17,1530,-,-,-,-,6.78
303,Wojciech Szczęsny,2017/2018,Juventus,Europe-UEFA-Champions-League,UCL,2,91,-,-,-,-,6.66
304,Wojciech Szczęsny,2016/2017,Roma,Italy-Serie-A,ISA,38,3420,-,-,-,-,6.99
305,Wojciech Szczęsny,2015/2016,Roma,Italy-Serie-A,ISA,34,3060,-,-,-,-,6.87
306,Wojciech Szczęsny,2015/2016,Roma,Europe-UEFA-Champions-League,UCL,8,680,-,-,-,-,6.63
307,Wojciech Szczęsny,2014/2015,Arsenal,Europe-UEFA-Champions-League,UCL,4,330,-,-,-,-,6.56
308,Wojciech Szczęsny,2014/2015,Arsenal,England-Premier-League,EPL,17,1499,-,-,-,-,6.46
309,Wojciech Szczęsny,2016,Poland,International-European-Championship,UEC,1,90,-,-,-,-,6.8
310,Wojciech Szczęsny,2013/2014,Arsenal,Europe-UEFA-Champions-League,UCL,7,577,-,-,-,-,6.65
311,Wojciech Szczęsny,2013/2014,Arsenal,England-Premier-League,EPL,37,3330,-,-,-,-,7.04
312,Wojciech Szczęsny,2012/2013,Arsenal,Europe-UEFA-Champions-League,UCL,3,270,-,-,-,-,6.53
313,Wojciech Szczęsny,2012/2013,Arsenal,England-Premier-League,EPL,25,2250,-,-,-,-,6.83
314,Wojciech Szczęsny,2012,Poland,International-European-Championship,UEC,1,68,-,-,-,-,3.62
315,Wojciech Szczęsny,2011/2012,Arsenal,Europe-UEFA-Champions-League,UCL,7,630,-,-,-,-,6.72
316,Wojciech Szczęsny,2011/2012,Arsenal,England-Premier-League,EPL,38,3420,-,-,-,-,6.6
317,Wojciech Szczęsny,2010/2011,Arsenal,Europe-UEFA-Champions-League,UCL,2,112,-,-,-,-,6.76
318,Wojciech Szczęsny,2010/2011,Arsenal,England-Premier-League,EPL,15,1350,-,-,-,-,6.8
319,Joel Obi,2017/2018,Torino,Italy-Serie-A,ISA,22,1201,5,3,2,-,6.89
320,Joel Obi,2016/2017,Torino,Italy-Serie-A,ISA,20,773,-,-,-,-,6.5
321,Joel Obi,2015/2016,Torino,Italy-Serie-A,ISA,10,492,1,-,1,-,6.66
322,Joel Obi,2014/2015,Inter,Italy-Serie-A,ISA,11,490,1,-,-,1,6.48
323,Joel Obi,2014/2015,Inter,Europe-UEFA-Europa-League,UEL,4,161,-,-,-,-,6.74
324,Joel Obi,2013/2014,Parma,Italy-Serie-A,ISA,8,172,-,-,-,-,6.17
325,Joel Obi,2012/2013,Inter,Italy-Serie-A,ISA,2,95,-,-,-,-,7.02
326,Joel Obi,2012/2013,Inter,Europe-UEFA-Europa-League,UEL,1,64,1,-,1,-,7.11
327,Joel Obi,2011/2012,Inter,Italy-Serie-A,ISA,27,1199,-,-,-,-,6.49
328,Joel Obi,2011/2012,Inter,Europe-UEFA-Champions-League,UCL,7,303,-,-,-,-,6.39
329,Joel Obi,2010/2011,Inter,Italy-Serie-A,ISA,10,248,-,-,-,-,6.34
330,Joel Obi,2010/2011,Inter,Europe-UEFA-Champions-League,UCL,1,10,-,-,-,-,6.26
331,David de Gea,2017/2018,Manchester Un..,Europe-UEFA-Champions-League,UCL,6,540,-,-,-,-,7.27
332,David de Gea,2017/2018,Manchester Un..,England-Premier-League,EPL,37,3330,-,-,-,-,6.83
333,David de Gea,2016/2017,Manchester Un..,England-Premier-League,EPL,35,3150,-,-,-,-,6.57
334,David de Gea,2016/2017,Manchester Un..,Europe-UEFA-Europa-League,UEL,3,270,-,-,-,-,6.28
335,David de Gea,2015/2016,Manchester Un..,Europe-UEFA-Europa-League,UEL,2,180,-,-,-,-,7.18
336,David de Gea,2015/2016,Manchester Un..,Europe-UEFA-Champions-League,UCL,6,540,-,-,-,-,6.72
337,David de Gea,2015/2016,Manchester Un..,England-Premier-League,EPL,34,3060,-,-,-,-,6.66
338,David de Gea,2014/2015,Manchester Un..,England-Premier-League,EPL,37,3314,-,-,-,-,6.68
339,David de Gea,2016,Spain,International-European-Championship,UEC,4,360,-,-,-,-,6.39
340,David de Gea,2013/2014,Manchester Un..,Europe-UEFA-Champions-League,UCL,10,900,-,-,-,-,6.65
341,David de Gea,2013/2014,Manchester Un..,England-Premier-League,EPL,37,3330,-,-,-,-,6.6
342,David de Gea,2013,Spain U21,International-EURO-U-21,IEU,5,450,-,-,-,-,6.75
343,David de Gea,2012/2013,Manchester Un..,Europe-UEFA-Champions-League,UCL,7,630,-,-,-,-,6.85
344,David de Gea,2012/2013,Manchester Un..,England-Premier-League,EPL,28,2520,-,-,-,-,6.86
345,David de Gea,2011/2012,Manchester Un..,Europe-UEFA-Champions-League,UCL,4,360,-,-,-,-,6.06
346,David de Gea,2011/2012,Manchester Un..,England-Premier-League,EPL,29,2610,-,-,-,-,6.98
347,David de Gea,2010/2011,Atletico Madr..,Spain-La-Liga,SLL,38,3420,-,-,-,-,6.93
348,David de Gea,2009/2010,Atletico Madr..,Spain-La-Liga,SLL,19,1710,-,-,-,-,6.75
349,David de Gea,2009/2010,Atletico Madr..,Europe-UEFA-Champions-League,UCL,1,64,-,-,-,-,7.23
350,Kevin Trapp,2017/2018,Paris Saint G..,France-Ligue-1,FL1,4,360,-,-,-,-,6.86
351,Kevin Trapp,2016/2017,Paris Saint G..,Europe-UEFA-Champions-League,UCL,2,180,-,-,-,-,6.5
352,Kevin Trapp,2016/2017,Paris Saint G..,France-Ligue-1,FL1,24,2124,-,-,-,-,7.02
353,Kevin Trapp,2015/2016,Paris Saint G..,Europe-UEFA-Champions-League,UCL,10,900,-,-,-,-,6.94
354,Kevin Trapp,2015/2016,Paris Saint G..,France-Ligue-1,FL1,35,3106,-,-,-,-,6.78
355,Kevin Trapp,2014/2015,Eintracht Fra..,Germany-Bundesliga,GB,22,1980,-,-,-,-,6.77
356,Kevin Trapp,2013/2014,Eintracht Fra..,Europe-UEFA-Europa-League,UEL,7,630,-,-,-,-,7.12
357,Kevin Trapp,2013/2014,Eintracht Fra..,Germany-Bundesliga,GB,34,3047,-,-,-,-,6.8
358,Kevin Trapp,2012/2013,Eintracht Fra..,Germany-Bundesliga,GB,26,2340,-,-,-,-,6.83
359,Kevin Trapp,2011/2012,Kaiserslauter..,Germany-Bundesliga,GB,23,2070,-,-,-,-,6.71
360,Kevin Trapp,2010/2011,Kaiserslauter..,Germany-Bundesliga,GB,9,810,-,-,-,-,7.07
361,Łukasz Skorupski,2017/2018,Roma,Italy-Serie-A,ISA,1,90,-,-,-,-,7.63
362,Łukasz Skorupski,2016/2017,Empoli,Italy-Serie-A,ISA,35,3150,-,-,-,-,7.0
363,Łukasz Skorupski,2015/2016,Empoli,Italy-Serie-A,ISA,31,2790,-,-,-,-,6.76
364,Łukasz Skorupski,2014/2015,Roma,Italy-Serie-A,ISA,3,270,-,-,-,-,6.37
365,Łukasz Skorupski,2014/2015,Roma,Europe-UEFA-Champions-League,UCL,2,180,-,-,-,-,6.19
366,Łukasz Skorupski,2014/2015,Roma,Europe-UEFA-Europa-League,UEL,4,360,-,-,-,-,6.36
367,Łukasz Skorupski,2013/2014,Roma,Italy-Serie-A,ISA,2,180,-,-,-,-,6.99
368,Łukasz Teodorczyk,2017/2018,Anderlecht,Europe-UEFA-Champions-League,UCL,6,389,-,-,-,-,6.34
369,Łukasz Teodorczyk,2016/2017,Anderlecht,Europe-UEFA-Europa-League,UEL,11,674,5,1,4,-,6.93
370,Łukasz Teodorczyk,2015/2016,Dynamo Kyiv,Europe-UEFA-Champions-League,UCL,4,97,-,-,-,-,6.1
371,Łukasz Teodorczyk,2014/2015,Dynamo Kyiv,Europe-UEFA-Europa-League,UEL,6,316,3,-,3,-,6.68
372,Šime Vrsaljko,2017/2018,Atletico Madr..,Spain-La-Liga,SLL,21,1697,-,-,-,-,7.09
373,Šime Vrsaljko,2017/2018,Atletico Madr..,Europe-UEFA-Europa-League,UEL,4,146,-,-,-,-,6.13
374,Šime Vrsaljko,2017/2018,Atletico Madr..,Europe-UEFA-Champions-League,UCL,1,90,-,-,-,-,7.02
375,Šime Vrsaljko,2016/2017,Atletico Madr..,Spain-La-Liga,SLL,14,924,-,-,-,-,6.95
376,Šime Vrsaljko,2016/2017,Atletico Madr..,Europe-UEFA-Champions-League,UCL,5,450,-,-,-,-,7.63
377,Šime Vrsaljko,2015/2016,Sassuolo,Italy-Serie-A,ISA,35,3062,-,-,-,-,7.17
378,Šime Vrsaljko,2014/2015,Sassuolo,Italy-Serie-A,ISA,21,1574,-,-,-,-,6.86
379,Šime Vrsaljko,2016,Croatia,International-European-Championship,UEC,2,91,-,-,-,-,5.83
380,Šime Vrsaljko,2013/2014,Genoa,Italy-Serie-A,ISA,22,1799,-,-,-,-,7.02
381,Šime Vrsaljko,2014,Croatia,International-FIFA-World-Cup,WC,2,148,-,-,-,-,6.77
382,Šime Vrsaljko,2012/2013,Dinamo Zagreb,Europe-UEFA-Champions-League,UCL,4,360,-,-,-,-,6.6
383,Šime Vrsaljko,2011/2012,Dinamo Zagreb,Europe-UEFA-Champions-League,UCL,2,180,-,-,-,-,5.93
384,Neymar,2017/2018,Paris Saint G..,Europe-UEFA-Champions-League,UCL,7,630,6,1,3,2,9.11
385,Neymar,2017/2018,Paris Saint G..,France-Ligue-1,FL1,20,1788,19,4,10,5,8.95
386,Neymar,2016/2017,Barcelona,Spain-La-Liga,SLL,30,2652,13,4,8,1,8.52
387,Neymar,2016/2017,Barcelona,Europe-UEFA-Champions-League,UCL,9,797,4,-,2,2,8.24
388,Neymar,2015/2016,Barcelona,Spain-La-Liga,SLL,34,3057,24,6,17,1,8.43
389,Neymar,2015/2016,Barcelona,Europe-UEFA-Champions-League,UCL,9,810,3,-,3,-,8.24
390,Neymar,2015,Brazil,International-Copa-America,ICA,2,180,1,-,1,-,7.56
391,Neymar,2014/2015,Barcelona,Spain-La-Liga,SLL,33,2573,22,4,17,1,7.96
392,Neymar,2014/2015,Barcelona,Europe-UEFA-Champions-League,UCL,12,1027,10,-,9,1,7.92
393,Neymar,2013/2014,Barcelona,Spain-La-Liga,SLL,26,1742,9,3,5,1,7.51
394,Neymar,2013/2014,Barcelona,Europe-UEFA-Champions-League,UCL,10,774,4,2,2,-,7.68
395,Neymar,2014,Brazil,International-FIFA-World-Cup,WC,5,428,4,-,3,1,8.09
396,Neymar,2013,Santos FC,Brazil-Brasileirão,BSA,1,90,-,-,-,-,7.39
397,Neymar,2013,Brazil,International-Confederations-Cup,ICC,5,413,4,-,2,2,8.29
398,Christian Eriksen,2017/2018,Tottenham,Europe-UEFA-Champions-League,UCL,6,535,2,-,1,1,7.08
399,Christian Eriksen,2017/2018,Tottenham,England-Premier-League,EPL,37,3226,10,-,8,2,7.4
400,Christian Eriksen,2016/2017,Tottenham,Europe-UEFA-Champions-League,UCL,6,451,-,-,-,-,7.04
401,Christian Eriksen,2016/2017,Tottenham,England-Premier-League,EPL,36,3167,8,2,3,3,7.53
402,Christian Eriksen,2016/2017,Tottenham,Europe-UEFA-Europa-League,UEL,2,100,1,-,1,-,7.39
403,Christian Eriksen,2015/2016,Tottenham,Europe-UEFA-Europa-League,UEL,7,574,1,-,1,-,6.94
404,Christian Eriksen,2015/2016,Tottenham,England-Premier-League,EPL,35,2942,6,-,3,3,7.45
405,Christian Eriksen,2014/2015,Tottenham,Europe-UEFA-Europa-League,UEL,4,257,-,-,-,-,6.57
406,Christian Eriksen,2014/2015,Tottenham,England-Premier-League,EPL,38,3142,10,1,3,6,7.09
407,Christian Eriksen,2013/2014,Tottenham,Europe-UEFA-Europa-League,UEL,9,455,3,-,-,3,6.91
408,Christian Eriksen,2013/2014,Tottenham,England-Premier-League,EPL,25,1984,7,1,4,2,7.22
409,Christian Eriksen,2013/2014,Ajax,Netherlands-Eredivisie,NE,4,360,2,-,-,2,8.02
410,Christian Eriksen,2012/2013,Ajax,Europe-UEFA-Europa-League,UEL,2,180,-,-,-,-,7.24
411,Christian Eriksen,2012/2013,Ajax,Europe-UEFA-Champions-League,UCL,6,540,1,-,-,1,7.25
412,Christian Eriksen,2012,Denmark,International-European-Championship,UEC,3,254,-,-,-,-,6.16
413,Christian Eriksen,2011/2012,Ajax,Europe-UEFA-Champions-League,UCL,6,530,1,-,1,-,7.27
414,Christian Eriksen,2010/2011,Ajax,Europe-UEFA-Champions-League,UCL,4,105,-,-,-,-,6.29
415,James Rodríguez,2017/2018,Bayern Munich,Germany-Bundesliga,GB,23,1627,7,1,5,1,7.63
416,James Rodríguez,2017/2018,Bayern Munich,Europe-UEFA-Champions-League,UCL,12,779,1,1,-,-,7.05
417,James Rodríguez,2016/2017,Real Madrid,Spain-La-Liga,SLL,22,1180,8,4,3,1,7.27
418,James Rodríguez,2016/2017,Real Madrid,Europe-UEFA-Champions-League,UCL,6,318,-,-,-,-,6.81
419,James Rodríguez,2015/2016,Real Madrid,Spain-La-Liga,SLL,26,1518,7,-,2,5,7.32
420,James Rodríguez,2015/2016,Real Madrid,Europe-UEFA-Champions-League,UCL,5,265,1,-,1,-,7.09
421,James Rodríguez,2015,Colombia,International-Copa-America,ICA,4,360,-,-,-,-,6.86
422,James Rodríguez,2014/2015,Real Madrid,Spain-La-Liga,SLL,29,2290,13,3,5,5,7.85
423,James Rodríguez,2014/2015,Real Madrid,Europe-UEFA-Champions-League,UCL,9,705,1,1,-,-,7.33
424,James Rodríguez,2013/2014,Monaco,France-Ligue-1,FL1,34,2644,9,-,6,3,7.44
425,James Rodríguez,2014,Colombia,International-FIFA-World-Cup,WC,5,400,5,1,3,1,7.76
426,James Rodríguez,2012/2013,FC Porto,Europe-UEFA-Champions-League,UCL,8,615,1,-,1,-,7.17
427,James Rodríguez,2011/2012,FC Porto,Europe-UEFA-Champions-League,UCL,6,407,1,1,-,-,7.0
428,Sadio Mané,2017/2018,Liverpool,Europe-UEFA-Champions-League,UCL,11,940,10,4,5,1,8.12
429,Sadio Mané,2017/2018,Liverpool,England-Premier-League,EPL,29,2207,10,2,8,-,7.27
430,Sadio Mané,2016/2017,Liverpool,England-Premier-League,EPL,27,2248,13,3,10,-,7.51
431,Sadio Mané,2015/2016,Southampton,England-Premier-League,EPL,37,2608,11,2,9,-,7.14
432,Sadio Mané,2015,Senegal,International-Africa-Cup-of-Nations,ACoN,2,156,-,-,-,-,6.62
433,Sadio Mané,2014/2015,Southampton,England-Premier-League,EPL,30,2135,10,1,8,1,7.07
434,Sadio Mané,2013/2014,Salzburg,Europe-UEFA-Europa-League,UEL,9,714,4,-,4,-,8.01
435,Ferjani Sassi,2015,Tunisia,International-Africa-Cup-of-Nations,ACoN,3,196,-,-,-,-,6.63
436,Ferjani Sassi,2014/2015,Metz,France-Ligue-1,FL1,13,953,1,1,-,-,6.75
437,Santiago Arias,2017/2018,PSV Eindhoven,Netherlands-Eredivisie,NE,30,2664,3,-,3,-,7.25
438,Santiago Arias,2016/2017,PSV Eindhoven,Europe-UEFA-Champions-League,UCL,4,332,1,1,-,-,6.91
439,Santiago Arias,2016/2017,PSV Eindhoven,Netherlands-Eredivisie,NE,28,2509,1,-,-,1,7.37
440,Santiago Arias,2015/2016,PSV Eindhoven,Europe-UEFA-Champions-League,UCL,6,530,-,-,-,-,7.04
441,Santiago Arias,2015/2016,PSV Eindhoven,Netherlands-Eredivisie,NE,32,2847,3,-,3,-,7.38
442,Santiago Arias,2015,Colombia,International-Copa-America,ICA,2,180,-,-,-,-,7.08
443,Santiago Arias,2014/2015,PSV Eindhoven,Europe-UEFA-Europa-League,UEL,4,344,-,-,-,-,6.73
444,Santiago Arias,2014/2015,PSV Eindhoven,Netherlands-Eredivisie,NE,21,1726,1,-,1,-,7.31
445,Santiago Arias,2013/2014,PSV Eindhoven,Europe-UEFA-Europa-League,UEL,6,540,-,-,-,-,7.09
446,Santiago Arias,2013/2014,PSV Eindhoven,Netherlands-Eredivisie,NE,25,2181,1,-,1,-,7.14
447,Santiago Arias,2014,Colombia,International-FIFA-World-Cup,WC,3,124,-,-,-,-,6.35
448,Marcin Kamiński,2017/2018,VfB Stuttgart,Germany-Bundesliga,GB,23,1135,-,-,-,-,6.47
449,Marcin Kamiński,2016/2017,VfB Stuttgart,Germany-Bundesliga-II,GB2,23,2021,1,-,1,-,6.88
450,Marcin Kamiński,2015/2016,Lech Poznan,Europe-UEFA-Europa-League,UEL,5,450,-,-,-,-,6.79
451,Daler Kuzyayev,2017/2018,Zenit St. Pet..,Europe-UEFA-Europa-League,UEL,7,540,1,-,-,1,7.05
452,Daler Kuzyayev,2017/2018,Zenit St. Pet..,Russia-Premier-League,RPL,26,1997,6,2,1,3,7.08
453,Daler Kuzyayev,2016/2017,FK Akhmat,Russia-Premier-League,RPL,27,2396,-,-,-,-,6.87
454,Daler Kuzyayev,2015/2016,FK Akhmat,Russia-Premier-League,RPL,21,1652,-,-,-,-,7.0
455,Daler Kuzyayev,2014/2015,FK Akhmat,Russia-Premier-League,RPL,21,1203,-,-,-,-,6.51
456,Daler Kuzyayev,2013/2014,FK Akhmat,Russia-Premier-League,RPL,1,10,-,-,-,-,6.13
457,Guillermo Varela,2016/2017,Eintracht Fra..,Germany-Bundesliga,GB,7,431,-,-,-,-,6.64
458,Guillermo Varela,2015/2016,Manchester Un..,Europe-UEFA-Europa-League,UEL,3,226,-,-,-,-,7.1
459,Guillermo Varela,2015/2016,Manchester Un..,Europe-UEFA-Champions-League,UCL,1,90,-,-,-,-,7.11
460,Guillermo Varela,2015/2016,Manchester Un..,England-Premier-League,EPL,4,315,-,-,-,-,6.83
461,Diego Laxalt,2017/2018,Genoa,Italy-Serie-A,ISA,32,2810,3,-,3,-,6.77
462,Diego Laxalt,2016/2017,Genoa,Italy-Serie-A,ISA,36,3141,1,-,1,-,6.79
